key	count_all	count_nodes	count_ways	count_relations
addr:city:simc	4819138	1964547	2853377	1214
roof:levels	4789717	5887	4762959	20871
bus	4774774	4420726	313465	40583
direction	4640027	4577810	53391	8826
addr:floor	4615938	4601666	13743	529
sidewalk	4516581	254	4516246	81
created_by	4505827	4094487	409985	1355
attribution	4378630	655032	3691845	31753
opening_hours	4378012	3401381	905915	70716
nysgissam:nysaddresspointid	4349873	2729197	1620109	567
note	4344944	1555582	2619933	169429
parking	4303737	324161	3928244	51332
website	4301988	2583176	1510487	208325
addr:conscriptionnumber	4224149	2587751	1635290	1108
tiger:zip_left	4203915	25	4203871	19
wikidata	4066271	1453072	1796506	816693
addr:unit	4027372	3485888	539440	2044
location	4013339	1053690	2949744	9905
ref:bygningsnr	3982060	194	3979917	1949
tiger:zip_right	3853781	48	3853716	17
tourism	3850535	3098310	727246	24979
source:geometry:ref	3820508	196	3815798	4514
ref:ruian:building	3813773	69	3805512	8192
building:part	3769475	1936	3629984	137555
voltage	3756633	179421	3542382	34830
building:ruian:type	3698074	14	3689984	8076
width	3689085	53707	3634608	770
wheelchair	3677740	2487580	1140262	49898
network	3533605	1796009	382190	1355406
addr:subdistrict	3506252	2868184	629183	8885
phone	3377976	2336215	1007282	34479
import	3336939	2564	3327722	6653
capacity	3215942	1010945	2191202	13795
denotation	3210317	3147101	62954	262
emergency	3179473	2993939	182677	2857
gauge	3119128	998	3116215	1915
sport	3084502	282232	2746386	55884
crossing:island	3034945	2277624	757298	23
brand	3030869	2183698	831407	15764
description	3020538	1584377	1270598	165563
ref:ruian:addr	3012963	2914751	98001	211
lacounty:bld_id	2946276	77	2923816	22383
lacounty:ain	2945949	944	2922625	22380
addr:municipality	2789965	2641798	147758	409
electrified	2775760	1768	2772723	1269
check_date	2751298	2076300	651101	23897
building:units	2730080	1992	2709254	18834
brand:wikidata	2695747	1919904	764366	11477
addr:district:en	2692929	2680871	10227	1831
alt_name	2691795	656909	1933733	101153
golf	2687985	96155	2487192	104638
motor_vehicle	2669482	315783	2349142	4557
source:maxspeed	2665419	13057	2651802	560
wetland	2633049	3903	2062381	566765
osak:identifier	2606411	2606411	0	0
kerb	2602472	2429753	172334	385
addr:province:en	2591964	2580648	9485	1831
addr:interpolation	2564309	7983	2556282	44
source_ref	2533313	438806	2067754	26753
boundary	2529697	38614	1552688	938395
house	2505972	1384	2502464	2124
ref:RS:kucni_broj	2460026	1457831	1001852	343
frequency	2404782	255491	2124306	24985
roof:colour	2398610	4751	2361028	32831
building:material	2398286	21821	2350540	25925
building:flats	2387182	6489	2365907	14786
fee	2359816	742944	1550436	66436
noexit	2352351	2261363	90982	6
addr:street:en	2323831	2121134	202221	476
ref:linz:address_id	2284813	2149572	135081	160
wikipedia	2202652	874636	861399	466617
restriction	2191783	621	8070	2183092
addr:subdistrict:en	2181370	2173150	6405	1815
admin_level	2180737	117104	1281757	781876
historic	2148230	1421164	703767	23299
covered	2147486	985442	1158864	3180
NHD:FCode	2135533	45	2125935	9553
roof:material	2132974	4012	2103659	25303
tiger:tlid	2131420	2311	2129109	0
tiger:source	2128282	0	2128282	0
lane_markings	2122463	708	2121727	28
level	2114586	1150168	927084	37334
backrest	2100190	2069668	30473	49
cycleway:both	2096104	61	2096037	6
fire_hydrant:type	2082363	2082279	81	3
shelter	2075071	1862344	207209	5518
species	2041189	1959549	78827	2813
NHD:ComID	2028133	45	2018667	9421
area	1991336	1024	1944394	45918
survey:date	1987476	1177774	782075	27627
horse	1980503	160430	1818791	1282
religion	1962324	722264	1210975	29085
NHD:ReachCode	1961002	8	1956627	4367
name:zh	1914993	787866	981854	145273
usage	1906999	5806	1899281	1912
name:ru	1873441	587944	1117294	168203
tiger:upload_uuid	1845181	50	1845131	0
fixme	1791368	774465	976109	40794
yh:WIDTH	1741350	2	1741347	1
bench	1737243	1484433	247375	5435
segregated	1728896	16191	1712591	114
source:building	1723416	104	1722933	379
NHD:RESOLUTION	1686741	45	1679197	7499
name:etymology:wikidata	1626600	7543	1603359	15698
incline	1609835	5735	1603692	408
traffic_sign	1600135	1059124	540015	996
source:name	1574795	343467	1213809	17519
genus	1546910	1422020	121699	3191
design	1543449	1539432	3963	54
addr:street:sym_ul	1534965	492130	1042523	312
gnis:feature_id	1507379	648477	810304	48598
ford	1500495	1362035	138455	5
NHD:FType	1489541	6	1489384	151
NHD:way_id	1487137	6	1487003	128
hgv	1482177	24477	1456950	750
traffic_calming	1482035	1318868	162176	991
colour	1469253	1037253	177685	254315
lamp_type	1464026	1463625	401	0
ref:minvskaddress	1452703	52952	1399168	583
addr:housename	1446401	385055	1054969	6377
cuisine	1427303	1119331	306175	1797
information	1382116	1368336	13531	249
building:colour	1373491	2054	1342015	29422
parking_space	1363603	136222	1224448	2933
lanes:backward	1362608	191	1362414	3
cables	1342706	33258	1283836	25612
office	1342552	981299	353454	7799
lanes:forward	1340597	188	1340407	2
crop	1335022	7800	1299076	28146
network:wikidata	1315012	994144	33548	287320
tiger:separated	1314381	0	1314381	0
maxspeed:type	1313778	1723	1311982	73
name:ja	1307527	478524	778046	50957
nhd:reach_code	1303826	1	1301912	1913
operator:type	1303353	553706	718616	31031
route	1289716	802	82461	1206453
yh:STRUCTURE	1284105	1	1284104	0
yh:TYPE	1284103	1	1284102	0
tiger:name_base_1	1281884	1	1281881	2
tiger:name_direction_prefix	1268286	3	1268272	11
addr:streetnumber	1267318	569027	697583	708
residential	1235181	16652	1145007	73522
postal_code	1227918	230604	892002	105312
cycleway	1222876	38275	1184365	236
nhd:com_id	1214423	127	1210450	3846
support	1214268	1209620	4539	109
name:uk	1212122	356438	721796	133888
yh:TOTYUMONO	1205672	1	1205671	0
yh:WIDTH_RANK	1205662	1	1205661	0
lamp_mount	1197109	1197002	107	0
roof:orientation	1190955	1193	1180805	8957
fire_hydrant:position	1185238	1185221	16	1
junction	1177945	92499	1081906	3540
ref:linz:building_id	1172062	0	1172011	51
at_bev:addr_date	1155973	168830	977401	9742
turn:lanes	1141721	176	1141536	9
mml:class	1137897	26596	1091416	19885
name:ar	1131393	389118	715767	26508
source:position	1130532	271378	798525	60629
bin	1115197	921381	188834	4982
raba:id	1096961	0	1001624	95337
aeroway	1079692	392445	683409	3838
nycdoitt:bin	1070036	191	1067939	1906
fire_hydrant:diameter	1069993	1069963	30	0
nhd:fdate	1059281	81	1055808	3392
crossing:signals	1022049	720393	301654	2
healthcare	1019910	778063	236010	5837
denomination	1004418	296770	685079	22569
cycleway:right	992959	230	992719	10
contact:phone	978887	782272	187650	8965
old_ref	967611	25430	930266	11915
mtb:scale	950566	767	948440	1359
noname	940786	22022	915578	3186
destination	928023	34490	678157	215376
fence_type	925916	1834	923345	737
circumference	925460	925232	226	2
indoor	923284	347145	547245	28894
traffic_signals	915168	908659	6464	45
old_name	910755	195953	679018	35784
motorcycle	903527	83635	819123	769
brand:wikipedia	902474	672881	226961	2632
construction	891632	201240	686016	4376
source:addr:postcode	891243	14303	875665	1275
int_name	878023	237936	593671	46416
sac_scale	877395	456	874636	2303
trail_visibility	867409	259	866574	576
name:ko	863317	300228	534843	28246
official_name	863256	287782	505558	69916
email	862194	590949	257947	13298
addr:county	851565	177333	671849	2383
addr:city:en	840383	670356	169789	238
contact:website	829659	650612	166389	12658
source:url	828694	666829	143688	18177
tower:type	809322	719282	89057	983
pmfsefin:idedif	807203	150	802763	4290
population	806116	644488	21887	139741
gnis:fcode	792398	82	791211	1105
motorcar	783738	182949	599535	1254
passenger_lines	772400	91	772277	32
name_1	763287	1501	761584	202
gnis:ftype	761734	73	760749	912
addr:region	760547	187646	531871	41030
maaamet:ETAK	758678	88	758347	243
ref:FR:FANTOIR	736095	207389	188456	340250
name:ca	731258	132677	580381	18200
chicago:building_id	724024	132	723551	341
traffic_signals:direction	720092	718275	1816	1
building:use	715198	4334	709448	1416
sidewalk:right	707772	55	707713	4
zone:traffic	701350	501	700751	98
seamark:type	698039	572594	122399	3046
bicycle_parking	697679	607866	89526	287
sidewalk:left	682996	46	682949	1
toll	680639	2204	677305	1130
generator:plant	674781	5015	669591	175
name:fr	661267	232696	379803	48768
structure	647787	640492	7285	10
note:ja	644422	142037	501615	770
handrail	642545	1364	641159	22
circuits	634244	1699	627364	5181
LINZ:source_version	630741	187935	432266	10540
NHD:FDate	625968	39	616540	9389
water_source	623780	569080	54628	72
NHD:FTYPE	621325	42	611896	9387
addr:inclusion	619017	14225	604774	18
operator:wikipedia	616125	379452	208723	27950
building:levels:underground	616068	334	592645	23089
addr:flats	615605	510022	105271	312
addr:place:en	611881	588555	23299	27
seasonal	611643	39627	559909	12107
designation	605681	27006	558634	20041
orientation	600016	17408	578757	3851
diameter_crown	591406	591360	45	1
button_operated	586617	524108	62509	0
int_ref	582166	1286	579977	903
ref:LV:addr	579311	289853	286998	2460
LINZ:layer	576637	140839	425365	10433
LINZ:dataset	570069	140605	419209	10255
it:fvg:ctrn:code	569939	29	568245	1665
it:fvg:ctrn:revision	567616	30	567492	94
substation	565359	144681	417076	3602
utility	553423	485751	67151	521
cycleway:left	548735	116	548617	2
operator:short	542906	267147	234945	40814
name:de	542185	207236	287864	47085
sidewalk:both	534890	54	534834	2
line_attachment	534144	534066	78	0
seats	532788	526664	5781	343
name:zh-Hant	525807	100997	400246	24564
recycling_type	509568	473174	36022	372
roof:height	506037	335	491940	13762
internet_access	500457	350773	144795	4889
addr:street:name	495270	12527	482393	350
short_name	492921	149456	313010	30455
parking:both	492181	147	492027	7
addr:street:type	489579	12495	476744	340
nysgissam:review	487000	369897	117070	33
tiger:name_direction_suffix	483005	0	483001	4
landcover	480433	6077	462328	12028
addr:street:prefix	479528	725	478461	342
meadow	476527	13	408142	68372
ref:AGESIC	473495	473367	128	0
takeaway	471429	341442	129297	690
crossing_ref	470912	439586	31325	1
step_count	470765	25353	445058	354
source:zoomlevel	470142	23	413442	56677
source:tracer	468983	2	412707	56274
contact:email	468385	351748	111632	5005
ramp	467978	10673	457178	127
maxheight	467034	67460	398907	667
destination:ref	466070	1190	416823	48057
shelter_type	465680	151649	313598	433
name:fi	465621	82526	368928	14167
branch	459042	266169	190977	1896
name:be	458821	148144	249953	60724
turn:lanes:forward	458644	90	458553	1
route_ref	458012	437734	13020	7258
vehicle	457038	57326	398607	1105
population:date	455073	344633	9874	100566
boat	446359	861	441591	3907
railway:signal:direction	443141	443056	85	0
from	438895	522	5422	432951
traffic_signals:sound	437309	407521	29788	0
hgv:national_network	435759	0	435759	0
to	435620	871	4717	430032
source:imagery	435228	49208	373928	12092
distance	429277	222801	6623	199853
turn:lanes:backward	428992	48	428944	0
outdoor_seating	425841	346733	78558	550
url	423965	280711	54225	89029
species:de	422336	421379	942	15
network:wikipedia	419870	270775	9969	139126
building:roof	418744	3736	414201	807
mapillary	417012	262868	138249	15895
area:highway	414968	4	390015	24949
ref:gurs:sta_sid	412074	300	411663	111
railway:track_ref	411769	1413	410337	19
door	410488	409194	1285	9
species:wikidata	408456	400193	7888	375
maxweight	407892	7199	400481	212
hiking	407669	367197	38297	2175
name:es	406697	117158	268250	21289
addr:provisionalnumber	406337	400430	5905	2
ref:BRN	406323	6	400458	5859
lojic:bgnum	404632	19	404338	275
payment:cash	403169	304236	84569	14364
name:pl	402730	75456	277051	50223
ref:codcat	398903	0	396816	2087
image	397789	226679	163565	7545
owner	391965	180717	200018	11230
NHS	391702	35	391535	132
railway:traffic_mode	391253	865	390278	110
informal	390903	10831	379864	208
contact:facebook	388367	312504	73037	2826
source:ref	386424	67043	292152	27229
public_transport:version	385561	34373	1067	350121
name:sr	384630	95131	275256	14243
tiger:name_type_1	381019	1	381016	2
transformer	380495	373481	7009	5
brand:en	380287	310879	68252	1156
ssr:stedsnr	379366	224577	102037	52752
geobase:acquisitionTechnique	377765	0	377765	0
shoulder	376976	2	376974	0
manhole	375103	374233	867	3
diameter	375058	279321	95616	121
unsigned_ref	372065	4804	364377	2884
isced:level	371272	176069	188452	6751
addr:ward	370639	90152	279967	520
departures_board	370580	332576	36310	1694
light:count	368939	368909	30	0
source:hgv	363865	8	363857	0
zone:maxspeed	363145	1109	362035	1
building:condition	361871	2444	358618	809
craft	361439	280157	80439	843
substance	360530	87857	271761	912
source:hgv:national_network	359243	0	359243	0
name:ja-Hira	358151	200991	140770	16390
surveillance:type	357719	356095	1183	441
garden:type	357003	3205	338361	15437
is_in	354790	174848	169394	10548
placement	351434	70	351361	3
traffic_signals:vibration	350846	328381	22465	0
railway:signal:position	349441	349408	33	0
stop	348165	346367	1783	15
addr:village	346209	58301	285892	2016
railway:track_class	345396	49	345346	1
HFCS	344741	3	344738	0
oneway:bicycle	343745	172	343552	21
wikimedia_commons	343545	171283	155574	16688
source:population	343354	258950	1776	82628
waste	340568	334375	6159	34
vending	338267	334718	3515	34
railway:etcs	337594	9891	327689	14
supervised	336980	145166	188135	3679
name:br	334464	65734	257456	11274
ref:vcgi:esiteid	334106	240650	93401	55
trees	333365	11664	304682	17019
content	330860	92786	237893	181
memorial	330526	317661	12551	314
piste:type	328711	881	314567	13263
living_street	324178	35	324128	15
bollard	323653	310918	12735	0
operator:en	323064	126621	182091	14352
wires	321155	920	307576	12659
CLC:code	320756	12	293359	27385
genus:de	319405	317785	1610	10
ref:IFOPT	319218	263730	24054	31434
mofa	316802	6331	310444	27
CLC:year	316687	12	288233	28442
moped	316114	6357	309708	49
industrial	314984	40964	266859	7161
surveillance	312505	306821	4756	928
network:type	312176	114986	107	197083
dibavod:id	306878	0	300877	6001
embankment	305052	139	304839	74
playground	304397	233380	70790	227
fid	302772	7809	292691	2272
payment:credit_cards	299064	239539	57445	2080
network:short	298758	183651	9866	105241
railway:pzb	297241	196	297043	2
heritage	296814	58156	227242	11416
name:sr-Latn	296426	55278	232773	8375
ref:UrbIS	295931	52795	242550	586
naptan:AtcoCode	293047	292103	829	115
camera:type	290219	290127	85	7
name:zh-Hans	290093	96443	174454	19196
construction_date	289863	5286	284306	271
train	288703	187509	92175	9019
addr:subward	288475	32782	255229	464
board_type	283696	283037	612	47
naptan:verified	279648	231818	82	47748
taxon	279053	265752	12137	1164
prow_ref	279028	108	278658	262
manufacturer	276414	269995	6229	190
artwork_type	276221	258564	16726	931
light:colour	275900	275864	34	2
addr:block	274199	111790	162133	276
local_ref	273007	237662	32022	3323
railway:position	272490	270322	2124	44
check_date:opening_hours	272257	223820	48039	398
ref:FR:SIRET	270611	216379	53526	706
nhd:fcode	267401	38	266858	505
capacity:disabled	264593	26331	233749	4513
motorroad	263535	150	263361	24
swimming_pool	261691	116332	144912	447
min_height	260962	5774	236466	18722
naptan:CommonName	260264	260122	131	11
nhd:ftype	258782	38	258476	268
building:usage:pl	257466	38	257251	177
smoking	256769	146134	106323	4312
naptan:Bearing	256692	256617	66	9
drive_through	254035	174125	79463	447
voltage:primary	253011	246025	6966	20
inscription	252559	238621	13596	342
species:en	251167	249302	1712	153
naptan:Street	248717	248365	296	56
heritage:operator	248625	48220	190206	10199
payment:debit_cards	247637	197897	48110	1630
source:outline	247259	39	246819	401
mvdgis:cod_nombre	247051	228443	13518	5090
